"EmployeeID","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","JobInvolvement","PerformanceRating","avg_workings_hours","num_of_leaves","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance"
1,51,"No","Travel_Rarely","Sales",6,2,"Life Sciences","Female",1,"Healthcare Representative","Married",131160,1,11,0,1,6,1,0,0,3,3,7.37365062260536,17,3,4,2
2,31,"Yes","Travel_Frequently","Research & Development",10,1,"Life Sciences","Female",1,"Research Scientist","Single",41890,0,23,1,6,3,5,1,4,2,4,7.75651393819022,13,3,2,4
3,32,"No","Travel_Frequently","Research & Development",17,4,"Other","Male",4,"Sales Executive","Married",193280,1,15,3,5,2,5,0,3,3,3,7.05564679216915,7,2,2,1
4,38,"No","Non-Travel","Research & Development",2,5,"Life Sciences","Male",3,"Human Resources","Married",83210,3,11,3,13,5,8,7,5,2,3,7.23581474711835,14,4,4,3
5,32,"No","Travel_Rarely","Research & Development",10,1,"Medical","Male",1,"Sales Executive","Single",23420,4,12,2,9,2,6,0,4,3,3,8.04002602591248,4,4,1,3
6,46,"No","Travel_Rarely","Research & Development",8,3,"Life Sciences","Female",4,"Research Director","Married",40710,3,13,0,28,5,7,7,7,3,3,10.8077337775934,12,3,2,2
7,28,"Yes","Travel_Rarely","Research & Development",11,2,"Medical","Male",2,"Sales Executive","Single",58130,2,20,1,5,2,0,0,0,3,4,6.96855548699119,17,1,3,1
8,29,"No","Travel_Rarely","Research & Development",18,3,"Life Sciences","Male",2,"Sales Executive","Married",31430,2,22,3,10,2,0,0,0,3,4,6.77020197533036,6,1,2,3
9,31,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences","Male",3,"Laboratory Technician","Married",20440,0,21,0,10,2,9,7,8,3,4,7.27917402088288,19,2,4,3
10,25,"No","Non-Travel","Research & Development",7,4,"Medical","Female",4,"Laboratory Technician","Divorced",134640,1,13,1,6,2,6,1,5,3,3,7.12336528041594,15,2,1,3
11,45,"No","Travel_Rarely","Research & Development",17,2,"Medical","Male",2,"Laboratory Technician","Married",79910,0,13,2,21,2,20,4,10,2,3,8.43462407663624,8,3,4,3
12,36,"No","Travel_Rarely","Research & Development",28,1,"Life Sciences","Male",1,"Laboratory Technician","Married",33770,0,12,2,16,2,15,10,11,3,3,7.11107698015704,8,NA,4,3
13,55,"No","Travel_Rarely","Research & Development",14,4,"Life Sciences","Female",1,"Sales Executive","Single",55380,0,17,0,37,2,36,4,13,3,3,9.32639146493672,20,4,1,3
14,47,"Yes","Non-Travel","Research & Development",1,1,"Medical","Male",1,"Research Scientist","Married",57620,1,11,2,10,4,10,9,9,2,3,9.42344953380377,14,1,2,2
15,28,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences","Male",1,"Manufacturing Director","Married",25920,1,14,0,5,2,5,0,4,3,3,6.13986984709806,8,4,4,2
16,37,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences","Male",2,"Healthcare Representative","Married",53460,4,11,0,7,2,5,0,1,3,3,6.75104619042466,12,3,4,4
17,21,"No","Travel_Rarely","Research & Development",3,2,"Life Sciences","Male",1,"Laboratory Technician","Single",42130,1,12,3,3,3,3,1,0,2,3,6.66766756700798,22,4,3,4
18,37,"No","Non-Travel","Research & Development",1,3,"Medical","Male",2,"Sales Executive","Divorced",41270,2,13,1,15,2,5,0,2,3,3,11.0237837614711,3,1,4,3
19,35,"No","Travel_Rarely","Sales",7,4,"Life Sciences","Male",1,"Sales Representative","Divorced",24380,7,16,0,10,5,7,6,2,2,3,7.00492538252775,17,2,2,2
20,38,"No","Travel_Rarely","Research & Development",8,3,"Life Sciences","Female",1,"Manager","Divorced",68700,1,11,1,8,5,8,7,7,3,3,9.31839072751714,18,1,1,3
21,26,"No","Travel_Frequently","Research & Development",1,4,"Other","Male",2,"Laboratory Technician","Divorced",104470,1,18,0,6,3,6,1,4,3,3,7.63006071016308,17,3,2,1
22,50,"No","Travel_Rarely","Sales",8,4,"Life Sciences","Male",1,"Research Scientist","Divorced",96670,3,23,0,28,2,10,1,6,2,4,6.06119402156191,16,1,2,2
23,53,"No","Travel_Rarely","Research & Development",11,4,"Life Sciences","Female",2,"Research Scientist","Married",21480,3,11,0,21,2,5,1,3,3,3,8.43445648414219,17,3,3,2
24,42,"No","Travel_Rarely","Research & Development",4,4,"Life Sciences","Male",1,"Manufacturing Director","Married",89260,1,14,0,NA,4,20,11,6,1,3,6.85110216557534,7,2,3,3
25,29,"No","Travel_Frequently","Research & Development",16,4,"Medical","Male",1,"Laboratory Technician","Single",65130,1,11,1,10,2,10,0,9,3,3,7.1368897737737,18,2,4,2
26,55,"No","Travel_Rarely","Research & Development",1,4,"Other","Female",1,"Research Scientist","Married",67990,3,11,0,12,2,10,0,8,3,3,9.3852516486527,8,2,4,3
27,26,"No","Travel_Frequently","Research & Development",9,3,"Life Sciences","Female",1,"Manager","Married",162910,1,22,0,5,3,5,3,3,3,4,10.9871624507162,10,1,1,3
28,37,"No","Travel_Rarely","Sales",5,1,"Marketing","Male",1,"Research Scientist","Single",27050,1,11,0,17,2,17,5,7,3,3,7.64295184668695,13,4,4,3
29,44,"Yes","Travel_Frequently","Research & Development",1,2,"Medical","Male",2,"Research Scientist","Divorced",103330,3,14,1,19,2,1,0,0,2,3,10.9874570773712,6,4,3,1
30,38,"No","Travel_Rarely","Sales",2,3,"Marketing","Female",1,"Manager","Divorced",44480,9,12,0,10,3,2,1,2,2,3,6.8774438963618,19,4,4,3
31,26,"Yes","Travel_Rarely","Research & Development",4,3,"Medical","Male",3,"Research Scientist","Divorced",68540,2,11,0,5,5,3,0,2,2,3,10.1267200720386,11,1,2,3
32,28,"No","Travel_Rarely","Research & Development",7,3,"Other","Male",1,"Human Resources","Single",96370,1,13,0,5,6,5,0,2,2,3,6.75456072659538,7,4,4,3
33,49,"No","Travel_Frequently","Research & Development",1,1,"Medical","Female",2,"Research Scientist","Single",35910,9,13,0,22,2,3,1,2,3,3,10.5323553934103,15,3,1,3
34,36,"No","Travel_Rarely","Sales",5,3,"Technical Degree","Male",3,"Sales Executive","Single",54050,4,14,0,10,2,8,7,7,3,3,6.23189925424193,6,3,2,3
35,31,"No","Travel_Frequently","Research & Development",9,4,"Medical","Male",1,"Sales Executive","Divorced",46840,1,16,1,2,4,2,2,2,3,3,6.63267348742123,9,4,2,2
36,26,"Yes","Travel_Rarely","Research & Development",8,3,"Medical","Male",2,"Manager","Single",157870,1,12,2,8,5,8,7,4,3,3,10.288605344541,17,4,4,3
37,37,"No","Travel_Frequently","Sales",9,1,"Marketing","Male",1,"Laboratory Technician","Married",15140,1,14,0,4,3,4,1,2,3,3,10.0007993422602,7,2,4,2
38,42,"No","Travel_Frequently","Sales",2,2,"Marketing","Male",3,"Research Director","Married",29560,5,13,0,23,2,20,4,8,3,3,6.03307847490587,19,3,2,4
39,18,"Yes","Travel_Rarely","Research & Development",1,4,"Life Sciences","Male",1,"Sales Executive","Single",23350,1,14,2,0,3,0,0,0,2,3,6.82322433556693,22,3,3,3
40,35,"No","Travel_Rarely","Sales",20,2,"Life Sciences","Male",1,"Laboratory Technician","Married",51540,0,19,0,12,2,11,6,9,2,3,7.72747711185037,10,3,2,2
